row_id,speaker_id,sentence_id,repetition_index,token_index,phoneme_label,wav_path,onset,offset,start_frame,stop_frame
17,AB,FRcorp2,1,7,ʁ,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.wav,1.74,1.86,87,93
18,AB,FRcorp2,1,8,j,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.wav,1.86,1.99,93,100
19,AB,FRcorp2,1,9,ø,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.wav,1.99,2.20007,99,111
20,AB,FRcorp2,1,11,t,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.wav,2.4,2.44,120,122
21,AB,FRcorp2,1,12,ʁ,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.wav,2.44,2.53,122,127
22,AB,FRcorp2,1,13,w,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.wav,2.53,2.6,126,130
23,AB,FRcorp2,1,14,a,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.wav,2.6,2.75,130,138
24,AB,FRcorp2,1,15,f,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.wav,2.75,2.93,137,147
25,AB,FRcorp2,1,16,w,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.wav,2.93,2.98,146,149
26,AB,FRcorp2,1,17,a,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp2.wav,2.98,3.17,149,159
27,AB,FRcorp3,1,2,d,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.wav,0.77224,0.95,38,48
28,AB,FRcorp3,1,3,i,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.wav,0.95,1.22,47,61
29,AB,FRcorp3,1,5,k,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.wav,1.42,1.47586,71,74
30,AB,FRcorp3,1,6,a,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.wav,1.47586,1.62618,73,82
31,AB,FRcorp3,1,7,ʃ,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.wav,1.62618,1.9,81,95
32,AB,FRcorp3,1,8,k,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.wav,1.9,1.97,95,99
33,AB,FRcorp3,1,9,a,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.wav,1.97,2.11,98,106
34,AB,FRcorp3,1,10,ʃ,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.wav,2.11,2.39,105,120
35,AB,FRcorp3,1,12,t,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.wav,2.74,2.79,137,140
36,AB,FRcorp3,1,13,ʁ,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.wav,2.79,2.88,139,144
37,AB,FRcorp3,1,14,w,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.wav,2.88,2.94,144,147
38,AB,FRcorp3,1,15,a,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.wav,2.94,3.11994,147,156
39,AB,FRcorp3,1,16,f,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.wav,3.11994,3.29,155,165
40,AB,FRcorp3,1,17,w,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.wav,3.29,3.34,164,167
41,AB,FRcorp3,1,18,a,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp3.wav,3.34,3.53,167,177
42,AB,FRcorp4,1,2,d,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp4.wav,0.89914,1.11,44,56
43,AB,FRcorp4,1,3,i,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp4.wav,1.11,1.37338,55,69
44,AB,FRcorp4,1,5,i,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp4.wav,1.42,1.52,71,76
45,AB,FRcorp4,1,6,j,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp4.wav,1.52,1.67,76,84
46,AB,FRcorp4,1,7,ɛ,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp4.wav,1.67,1.83,83,92
47,AB,FRcorp4,1,8,ʁ,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp4.wav,1.83,2.02342,91,102
48,AB,FRcorp4,1,10,t,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp4.wav,2.28,2.32,113,116
49,AB,FRcorp4,1,11,ʁ,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp4.wav,2.32,2.42,115,121
50,AB,FRcorp4,1,12,w,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp4.wav,2.42,2.48,121,124
51,AB,FRcorp4,1,13,a,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp4.wav,2.48,2.63,124,132
52,AB,FRcorp4,1,14,f,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp4.wav,2.63,2.79,131,140
53,AB,FRcorp4,1,15,w,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp4.wav,2.79,2.84,139,142
54,AB,FRcorp4,1,16,a,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp4.wav,2.84,3.04,142,152
55,AB,FRcorp5,1,2,d,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp5.wav,1.01263,1.19,50,60
56,AB,FRcorp5,1,3,i,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp5.wav,1.19,1.45,59,73
57,AB,FRcorp5,1,5,d,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp5.wav,1.5369,1.71,76,86
58,AB,FRcorp5,1,6,i,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp5.wav,1.71,1.8,85,90
59,AB,FRcorp5,1,7,v,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp5.wav,1.8,1.87,90,94
60,AB,FRcorp5,1,8,ɑ̃,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp5.wav,1.87,2.07752,93,104
61,AB,FRcorp5,1,10,t,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp5.wav,2.6,2.65,130,133
62,AB,FRcorp5,1,11,ʁ,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp5.wav,2.65,2.72,132,136
63,AB,FRcorp5,1,12,w,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp5.wav,2.72,2.8,136,140
64,AB,FRcorp5,1,13,a,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp5.wav,2.8,2.93,140,147
65,AB,FRcorp5,1,14,f,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp5.wav,2.93,3.09,146,155
66,AB,FRcorp5,1,15,w,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp5.wav,3.09,3.15,154,158
67,AB,FRcorp5,1,16,a,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp5.wav,3.15,3.32,157,166
68,AB,FRcorp6,1,2,d,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp6.wav,0.64384,0.82,32,41
69,AB,FRcorp6,1,3,i,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp6.wav,0.82,1.09,41,55
70,AB,FRcorp6,1,5,p,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp6.wav,1.27,1.34,63,67
71,AB,FRcorp6,1,6,u,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp6.wav,1.34,1.46,67,73
72,AB,FRcorp6,1,7,ʀ,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp6.wav,1.46,1.54974,73,78
73,AB,FRcorp6,1,8,ɡ,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp6.wav,1.54974,1.64,77,82
74,AB,FRcorp6,1,9,a,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp6.wav,1.64,1.73,82,87
75,AB,FRcorp6,1,10,b,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp6.wav,1.73,1.81,86,91
76,AB,FRcorp6,1,11,ʁ,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp6.wav,1.81,1.88,90,94
77,AB,FRcorp6,1,12,i,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp6.wav,1.88,1.94,93,97
78,AB,FRcorp6,1,13,j,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp6.wav,1.94,2.03,97,102
79,AB,FRcorp6,1,14,ɛ,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp6.wav,2.03,2.15,101,108
80,AB,FRcorp6,1,15,l,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp6.wav,2.15,2.22607,107,112
81,AB,FRcorp6,1,17,t,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp6.wav,2.47785,2.53,123,127
82,AB,FRcorp6,1,18,ʁ,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp6.wav,2.53,2.62,126,131
83,AB,FRcorp6,1,19,w,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp6.wav,2.62,2.69,131,135
84,AB,FRcorp6,1,20,a,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp6.wav,2.69,2.83,134,142
85,AB,FRcorp6,1,21,f,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp6.wav,2.83,3.0,141,150
86,AB,FRcorp6,1,22,w,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp6.wav,3.0,3.05,150,153
87,AB,FRcorp6,1,23,a,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp6.wav,3.05,3.23,152,162
88,AB,FRcorp7,1,2,d,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp7.wav,0.61275,0.79,30,40
89,AB,FRcorp7,1,3,i,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp7.wav,0.79,1.02,39,51
90,AB,FRcorp7,1,5,l,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp7.wav,1.14614,1.19,57,60
91,AB,FRcorp7,1,6,u,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp7.wav,1.19,1.39,59,70
92,AB,FRcorp7,1,7,ʃ,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp7.wav,1.39,1.67,69,84
93,AB,FRcorp7,1,9,t,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp7.wav,1.91,1.96,95,98
94,AB,FRcorp7,1,10,ʁ,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp7.wav,1.96,2.04,98,102
95,AB,FRcorp7,1,11,w,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp7.wav,2.04,2.12,102,106
96,AB,FRcorp7,1,12,a,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp7.wav,2.12,2.25,106,113
97,AB,FRcorp7,1,13,f,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp7.wav,2.25,2.42,112,121
98,AB,FRcorp7,1,14,w,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp7.wav,2.42,2.48,121,124
99,AB,FRcorp7,1,15,a,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp7.wav,2.48,2.66,124,133
100,AB,FRcorp8,1,2,l,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp8.wav,1.01,1.13,50,57
101,AB,FRcorp8,1,3,a,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp8.wav,1.13,1.26,56,63
102,AB,FRcorp8,1,4,ʁ,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp8.wav,1.26,1.38,63,69
103,AB,FRcorp8,1,5,u,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp8.wav,1.38,1.63,69,82
104,AB,FRcorp8,1,7,s,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp8.wav,1.86,2.05,93,103
105,AB,FRcorp8,1,8,y,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp8.wav,2.05,2.12,102,106
106,AB,FRcorp8,1,9,ʁ,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp8.wav,2.12,2.22529,106,112
107,AB,FRcorp8,1,10,l,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp8.wav,2.22529,2.31,111,116
108,AB,FRcorp8,1,11,a,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp8.wav,2.31,2.41,115,121
109,AB,FRcorp8,1,12,ʁ,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp8.wav,2.41,2.59,120,130
110,AB,FRcorp8,1,13,y,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp8.wav,2.59,2.84,129,142
111,AB,FRcorp8,1,15,ʁ,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp8.wav,3.1,3.23,155,162
112,AB,FRcorp8,1,16,u,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp8.wav,3.23,3.33,161,167
113,AB,FRcorp8,1,17,l,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp8.wav,3.33,3.47,166,174
114,AB,FRcorp8,1,19,l,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp8.wav,3.94,4.05,197,203
115,AB,FRcorp8,1,20,a,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp8.wav,4.05,4.2,202,210
116,AB,FRcorp8,1,22,ʁ,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp8.wav,4.24,4.37,212,219
117,AB,FRcorp8,1,23,y,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp8.wav,4.37,4.6,218,230
118,AB,FRcorp8,1,25,s,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp8.wav,4.75,4.94,237,248
119,AB,FRcorp8,1,26,u,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp8.wav,4.94,5.03,247,252
120,AB,FRcorp8,1,27,l,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp8.wav,5.03,5.21,251,261
121,AB,FRcorp8,1,28,a,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp8.wav,5.21,5.35,260,268
122,AB,FRcorp8,1,30,ʁ,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp8.wav,5.39,5.52,269,276
123,AB,FRcorp8,1,31,u,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp8.wav,5.52,5.7,276,285
124,AB,FRcorp8,1,33,ʁ,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp8.wav,5.97,6.07,298,304
125,AB,FRcorp8,1,34,ɛ,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp8.wav,6.07,6.17,303,309
126,AB,FRcorp8,1,35,s,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp8.wav,6.17,6.32,308,316
127,AB,FRcorp8,1,36,t,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp8.wav,6.32,6.47,316,324
128,AB,FRcorp9,1,2,d,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp9.wav,0.78991,0.97,39,49
129,AB,FRcorp9,1,3,i,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp9.wav,0.97,1.22,48,61
130,AB,FRcorp9,1,5,t,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp9.wav,1.44101,1.55,72,78
131,AB,FRcorp9,1,6,y,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp9.wav,1.55,1.7,77,85
132,AB,FRcorp9,1,7,l,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp9.wav,1.7,1.81,85,91
133,AB,FRcorp9,1,9,t,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp9.wav,2.19,2.24,109,113
134,AB,FRcorp9,1,10,ʁ,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp9.wav,2.24,2.31,112,116
135,AB,FRcorp9,1,11,w,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp9.wav,2.31,2.38,115,119
136,AB,FRcorp9,1,12,a,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp9.wav,2.38,2.51,118,126
137,AB,FRcorp9,1,13,f,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp9.wav,2.51,2.67,125,134
138,AB,FRcorp9,1,14,w,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp9.wav,2.67,2.73,133,137
139,AB,FRcorp9,1,15,a,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp9.wav,2.73,2.9,136,145
140,AB,FRcorp10,1,2,d,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp10.wav,0.67,0.82,33,41
141,AB,FRcorp10,1,3,i,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp10.wav,0.82,1.14,41,57
142,AB,FRcorp10,1,5,j,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp10.wav,1.36695,1.52,68,76
143,AB,FRcorp10,1,6,y,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp10.wav,1.52,1.61,76,81
144,AB,FRcorp10,1,7,k,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp10.wav,1.61,1.68,80,84
145,AB,FRcorp10,1,8,s,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp10.wav,1.68,1.81,84,91
146,AB,FRcorp10,1,9,t,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp10.wav,1.81,1.86,90,93
147,AB,FRcorp10,1,10,a,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp10.wav,1.86,1.94,93,97
148,AB,FRcorp10,1,11,p,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp10.wav,1.94,2.08091,97,105
149,AB,FRcorp10,1,12,o,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp10.wav,2.08091,2.16103,104,109
150,AB,FRcorp10,1,13,z,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp10.wav,2.16103,2.28,108,114
151,AB,FRcorp10,1,14,e,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp10.wav,2.28,2.44606,113,123
152,AB,FRcorp10,1,16,t,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp10.wav,2.83,2.87,141,144
153,AB,FRcorp10,1,17,ʁ,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp10.wav,2.87,2.94,143,147
154,AB,FRcorp10,1,18,w,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp10.wav,2.94,3.01,147,151
155,AB,FRcorp10,1,19,a,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp10.wav,3.01,3.14,150,157
156,AB,FRcorp10,1,20,f,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp10.wav,3.14,3.32,157,166
157,AB,FRcorp10,1,21,w,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp10.wav,3.32,3.39,166,170
158,AB,FRcorp10,1,22,a,ru-fr_interference/2/wav_et_textgrids/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp10.wav,3.39,3.55,169,178
